id,publication_year,cited_by_count,author_ids
https://openalex.org/W3189072387,2021,131,"https://openalex.org/A5011168888, https://openalex.org/A5030987696, https://openalex.org/A5014647140, https://openalex.org/A5080732494, https://openalex.org/A5054707908, https://openalex.org/A5000679279"
https://openalex.org/W2155058903,2008,148,"https://openalex.org/A5014647140, https://openalex.org/A5008033989, https://openalex.org/A5067142016"
https://openalex.org/W2565597050,2017,119,"https://openalex.org/A5048132210, https://openalex.org/A5054519023, https://openalex.org/A5014647140, https://openalex.org/A5027079032"
https://openalex.org/W1990213891,2014,107,"https://openalex.org/A5078699564, https://openalex.org/A5041660039, https://openalex.org/A5021211836"
https://openalex.org/W2980432476,2019,92,https://openalex.org/A5026969792
https://openalex.org/W4292475382,2022,37,"https://openalex.org/A5101803962, https://openalex.org/A5055446394, https://openalex.org/A5101965096, https://openalex.org/A5036936081, https://openalex.org/A5014647140"
https://openalex.org/W3021340442,2005,146,"https://openalex.org/A5014647140, https://openalex.org/A5008033989"
https://openalex.org/W3121790145,2013,85,"https://openalex.org/A5014647140, https://openalex.org/A5014032439"
https://openalex.org/W2964083839,2016,76,"https://openalex.org/A5048132210, https://openalex.org/A5027079032, https://openalex.org/A5014647140"
https://openalex.org/W3014797693,2020,63,https://openalex.org/A5000213324
https://openalex.org/W3154960156,2020,56,"https://openalex.org/A5073104450, https://openalex.org/A5000213324, https://openalex.org/A5000313412"
https://openalex.org/W3216948028,2022,29,"https://openalex.org/A5014221568, https://openalex.org/A5054630728, https://openalex.org/A5026969792"
https://openalex.org/W4282980433,2022,29,"https://openalex.org/A5026274355, https://openalex.org/A5031964906, https://openalex.org/A5021211836"
https://openalex.org/W4309076733,2022,28,"https://openalex.org/A5035199834, https://openalex.org/A5070873457, https://openalex.org/A5027733964, https://openalex.org/A5026969792, https://openalex.org/A5054630728, https://openalex.org/A5061206863, https://openalex.org/A5042787477"
https://openalex.org/W4378945402,2023,13,"https://openalex.org/A5026274355, https://openalex.org/A5034406723, https://openalex.org/A5021211836"
https://openalex.org/W3105035859,2012,56,"https://openalex.org/A5059223686, https://openalex.org/A5058670333, https://openalex.org/A5043903842"
https://openalex.org/W3100467400,2013,47,"https://openalex.org/A5078651528, https://openalex.org/A5014647140"
https://openalex.org/W2803567385,2018,39,"https://openalex.org/A5054519023, https://openalex.org/A5054164320, https://openalex.org/A5048132210, https://openalex.org/A5014647140"
https://openalex.org/W4225266786,2022,19,"https://openalex.org/A5035734289, https://openalex.org/A5087601816, https://openalex.org/A5026969792"
https://openalex.org/W4290851503,2022,19,"https://openalex.org/A5023767790, https://openalex.org/A5045033500, https://openalex.org/A5091533231, https://openalex.org/A5048344653"
https://openalex.org/W2130167023,2014,41,"https://openalex.org/A5037488679, https://openalex.org/A5014647140"
https://openalex.org/W2071348697,2014,36,"https://openalex.org/A5021211836, https://openalex.org/A5041660039"
https://openalex.org/W4312193916,2022,16,"https://openalex.org/A5004427266, https://openalex.org/A5077207855, https://openalex.org/A5065355832"
https://openalex.org/W2160075231,2009,42,"https://openalex.org/A5014647140, https://openalex.org/A5110118358"
https://openalex.org/W2130999090,2015,30,"https://openalex.org/A5059223686, https://openalex.org/A5058670333, https://openalex.org/A5043903842"
https://openalex.org/W3095366218,2020,25,"https://openalex.org/A5073104450, https://openalex.org/A5000213324, https://openalex.org/A5000313412"
https://openalex.org/W3107549912,2020,20,"https://openalex.org/A5011168888, https://openalex.org/A5030987696, https://openalex.org/A5014647140, https://openalex.org/A5054707908, https://openalex.org/A5080732494, https://openalex.org/A5000679279"
https://openalex.org/W3200179082,2021,19,"https://openalex.org/A5101676626, https://openalex.org/A5014647140, https://openalex.org/A5027079032"
https://openalex.org/W3136119692,2022,12,"https://openalex.org/A5072979385, https://openalex.org/A5060724128, https://openalex.org/A5055929171, https://openalex.org/A5002020728"
https://openalex.org/W2167566164,2003,41,"https://openalex.org/A5058670333, https://openalex.org/A5026172279, https://openalex.org/A5074144409"
https://openalex.org/W22892362,2009,32,"https://openalex.org/A5026420819, https://openalex.org/A5021211836, https://openalex.org/A5031964906"
https://openalex.org/W4309672241,2022,11,"https://openalex.org/A5011588754, https://openalex.org/A5048181040, https://openalex.org/A5054519023, https://openalex.org/A5055446394, https://openalex.org/A5027079032, https://openalex.org/A5014647140"
https://openalex.org/W2158526526,2009,27,"https://openalex.org/A5014647140, https://openalex.org/A5011256345"
https://openalex.org/W2461431309,2016,17,"https://openalex.org/A5018128415, https://openalex.org/A5083133070, https://openalex.org/A5061021795"
https://openalex.org/W4200226986,2021,15,"https://openalex.org/A5087601816, https://openalex.org/A5026969792, https://openalex.org/A5079362844, https://openalex.org/A5035734289"
https://openalex.org/W2055118167,2013,17,"https://openalex.org/A5041660039, https://openalex.org/A5030347468, https://openalex.org/A5021211836, https://openalex.org/A5082384108"
https://openalex.org/W2782481906,2018,17,"https://openalex.org/A5083133070, https://openalex.org/A5018128415, https://openalex.org/A5061021795"
https://openalex.org/W3015270853,2020,14,"https://openalex.org/A5020916633, https://openalex.org/A5046028612, https://openalex.org/A5091464459, https://openalex.org/A5076958787, https://openalex.org/A5009459906, https://openalex.org/A5031534785"
https://openalex.org/W3102637508,2008,22,"https://openalex.org/A5014647140, https://openalex.org/A5101810876, https://openalex.org/A5110702582"
https://openalex.org/W1729157025,2011,16,"https://openalex.org/A5082953212, https://openalex.org/A5045620226, https://openalex.org/A5014647140"
https://openalex.org/W2794909783,2018,14,"https://openalex.org/A5044267906, https://openalex.org/A5041660039, https://openalex.org/A5091798914, https://openalex.org/A5021211836"
https://openalex.org/W3105389172,2013,14,"https://openalex.org/A5037488679, https://openalex.org/A5014647140"
https://openalex.org/W2004939650,2010,13,"https://openalex.org/A5014647140, https://openalex.org/A5000038347, https://openalex.org/A5032779977"
